Book,Author,Frequency,Genres,Length,Rating,Year_Published,Year_Read,Emotion,Series
Fantistic Beasts: The Crimes of Grindelwald,J.K. Rowling,2,"Fantasy, Fiction, Young Adult, Magic, Screenplay, Adventure, Historical Fiction",304,4.25,2018,2018,Excitement,"Fantastic Beasts, #2"
The Mysterious Affair at Styles,Agatha Christie,1,"Mystery, Fiction, Classic, Crime, Detective, Thriller, Adult",121,3.75,2002,2015,Surprise,"Hercule Poirot, #1"
Lord of Shadows,Cassandra Clare,1,"Fantasy, Young Adult, Romance, Paranormal, Fiction, Magic",699,4.75,2017,2017,Relief,"The Dark Artificies, #2"
The A.B.C Murders ,Agatha Christie,1,"Mystery, Fiction, Classic, Crime, Detective, Thriller, Adult",232,5,2006,2015,Surprise,"Hercule Poirot, #13"
Evil Under the Sun,Agatha Christie,1,"Mystery, Fiction, Classic, Crime, Detective, Thriller, Adult",220,4,2006,2015,Surprise,"Hercule Poirot, #24"
The Murder on the Links,Agatha Christie,1,"Mystery, Fiction, Classic, Crime, Detective, Thriller, Adult",228,4.25,1984,2015,Surprise,"Hercule Poirot, #2"
The Hunger Games,Suzanne Collins,1,"Young Adult, Fiction, Dystopia, Adventure",374,4.5,2008,2014,Amorous,"The Hunger Games, #1"
Catching Fire,Suzanne Collins,1,"Young Adult, Fiction, Dystopia, Adventure",391,4.25,2009,2014,Anticipation,"The Hunger Games, #2"
Mockingjay,Suzanne Collins,1,"Young Adult, Fiction, Dystopia, Adventure",390,4,2010,2014,Despair,"The Hunger Games, #3"
Throne of Glass,Sarah J. Maas ,1,"Fantasy, Young Adult, Romance, Magic, Fiction",432,4.5,2012,2015,Excitement,"Throne of Glass, #1"
Crown of Midnight ,Sarah J. Maas ,1,"Fantasy, Young Adult, Romance, Magic, Fiction",448,4.25,2013,2015,Anticipation,"Throne of Glass, #2"
Heir of Fire,Sarah J. Maas ,1,"Fantasy, Young Adult, Romance, Magic, Fiction",576,4,2014,2016,Anticipation,"Throne of Glass, #3"
Queen of Shadows,Sarah J. Maas ,1,"Fantasy, Young Adult, Romance, Magic, Fiction",648,4,2015,2017,Confusion,"Throne of Glass, #4"
Empire of Storms,Sarah J. Maas ,1,"Fantasy, Young Adult, Romance, Magic, Fiction",689,4.25,2016,2018,Indifference,"Throne of Glass, #5"
Peril at End House,Agatha Christie,1,"Mystery, Fiction, Classic, Crime, Detective, Thriller, Adult",287,3.5,2001,2015,Surprise,"Hercule Poirot, #8"
Textrovert,Lindsey Summers,1,"Romance, Young Adult, Contemporary, Fiction, Chick Lit",235,2.75,2017,2015,Indifference,
The Giver,Lois Lowry,1,"Young Adult, Fiction, Classics, Dystopia, Science Fiction",208,3.75,2006,2016,Wonder,"The Giver, #1"
Lady Midnight,Cassandra Clare,1,"Fantasy, Young Adult, Romance, Paranormal, Fiction, Magic",688,4.75,2016,2016,Repulsion,"The Dark Artifices, #1"
Flawed,Cecelia Ahern,1,"Young Adult, Dystopia, Fiction, Fantasy, Romance",324,4.5,2016,2016,Outrage,"Flawed, #1"
Perfect,Cecelia Ahern,1,"Young Adult, Dystopia, Fiction, Fantasy, Romance",341,4,2017,2017,Relief,"Flawed, #2"
Only Ever Yours,Louise O'Neill,1,"Young Adult, Dystopia, Fiction, Feminism, Science Fiction, Horror, Contemporary",400,3.5,2014,2018,Outrage,
Twilight,Stephanie Meyer,1,"Fantasy, Young Adult, Romance, Fiction, Paranormal",498,2.5,2006,2014,Indifference,"The Twilight Saga, #1"
New Moon,Stephanie Meyer,1,"Fantasy, Young Adult, Romance, Fiction, Paranormal",563,2.25,2006,2014,Indifference,"The Twilight Saga, #2"
Eclipse,Stephanie Meyer,1,"Fantasy, Young Adult, Romance, Fiction, Paranormal",629,2.5,2007,2014,Indifference,"The Twilight Saga, #3"
Breaking Dawn,Stephanie Meyer,1,"Fantasy, Young Adult, Romance, Fiction, Paranormal",498,2.75,2008,2014,Indifference,"The Twilight Saga, #4"
Half-Blood,Jennifer L. Armentrout,1,"Fantasy, Young Adult, Paranormal, Romance, Mythology, Supernatural",281,3.75,2011,2016,Excitement,"Covenant, #1"
Pure,Jennifer L. Armentrout,1,"Fantasy, Young Adult, Paranormal, Romance, Mythology, Supernatural",329,3.5,2012,2016,Amorous,"Covenant, #2"
Deity,Jennifer L. Armentrout,1,"Fantasy, Young Adult, Paranormal, Romance, Mythology, Supernatural",330,3.5,2012,2016,Amorous,"Covenant, #3"
Obsidian,Jennifer L. Armentrout,1,"Young Adult, Fantasy, Romance, Paranormal, Science Fiction",335,4,2011,2015,Excitement,"Lux, #1"
Onyx,Jennifer L. Armentrout,1,"Young Adult, Fantasy, Romance, Paranormal, Science Fiction",421,4.25,2012,2015,Anticipation,"Lux, #2"
Opal,Jennifer L. Armentrout,1,"Young Adult, Fantasy, Romance, Paranormal, Science Fiction",394,4,2012,2015,Amorous,"Lux, #3"
Origin,Jennifer L. Armentrout,1,"Young Adult, Fantasy, Romance, Paranormal, Science Fiction",374,3.75,2013,2015,Amorous,"Lux, #4"
Opposition,Jennifer L. Armentrout,1,"Young Adult, Fantasy, Romance, Paranormal, Science Fiction",533,3.75,2014,2015,Amorous,"Lux, #5"
