Title,Author,Length,Rating,Date Published,Date Read,Date Added,Read Count,ISBN13 Number,Amazon Standard Identification Number,Goodreads Number,Review,Cover Image
"Fourth Wing (The Empyrean, #1)","Yarros, Rebecca*",663pp,4,"May 02, 2023","Dec 26, 2023","December 12, 2023",1,,B0BGDM197Q,63219094,Loved the plot!,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1667572773l/63219094._SY75_.jpg
"A Curse for True Love (Once Upon a Broken Heart, #3)","Garber, Stephanie*",385pp,2,"Oct 24, 2023",Date Read Not Set,"November 23, 2023",1,9781250851208,1250851203,62816044,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1674501506l/62816044._SY75_.jpg
"Divine Rivals (Letters of Enchantment, #1)","Ross, Rebecca*",357pp,4,"Apr 04, 2023","Dec 17, 2023","November 11, 2023",1,,B09Y468XS6,62202008,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661929417l/62202008._SY75_.jpg
"The Blood Traitor (The Prison Healer, #3)","Noni, Lynette*",464pp,0,"Jun 14, 2022",Date Read Not Set,"September 22, 2023",1,9780358436379,,50882394,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1634217864l/50882394._SY75_.jpg
Detail In Typography,"Hochuli, Jost",61pp,4,2005,Date Read Not Set,"September 18, 2023",1,9780907259343,0907259340,2318174,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349005586l/2318174._SY75_.jpg
The History of Graphic Design Vol. 1. 1890-1959,"Müller, Jens",480pp,4,"Nov 30, 2017",Date Read Not Set,"February 28, 2023",1,9783836563079,383656307X,37852859,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1515387191l/37852859._SY75_.jpg
"Nine Liars (Truly Devious, #5)","Johnson, Maureen*",449pp,4,"Dec 27, 2022",Date Read Not Set,"December 26, 2022",1,9780063032651,0063032651,60495147,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650735371l/60495147._SY75_.jpg
Five Survive,"Jackson, Holly*",400pp,5,"Nov 29, 2022","May 31, 2023","December 26, 2022",1,,B09XGQ142Z,61863408,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659678057l/61863408._SY75_.jpg
"The Ballad of Never After (Once Upon a Broken Heart, #2)","Garber, Stephanie*",403pp,4,"Sep 13, 2022",Date Read Not Set,"October 26, 2022",1,9781250268426,1250268427,59808071,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1645642179l/59808071._SY75_.jpg
"The Gilded Cage (The Prison Healer, #2)","Noni, Lynette*",448pp,4,"Oct 12, 2021",Date Read Not Set,"December 01, 2021",1,,B08NWT51T7,50882354,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1608472691l/50882354._SY75_.jpg
